target,imp
FoxP3,0
CD4,13.220718072150559
CD16,0.045144561603336575
CD56,0
PD1,22.470539692492913
CD31,5.8340542388179
PD.L1,0
EGFR,0
Ki67,0.0052403419962973605
CD209,2.362979319778643
CD11c,0.3764002893167116
CD138,3.226290510465305
CD68,3.5299050548162847
CSF.1R,2.8056043165207023
CD8,2.2496564105835946
CD3,11.881188475184171
IDO,0
Keratin17,1.0666862692154333e-4
CD63,0
CD45RO,3.2372268328629
CD20,3.870201047583159
p53,0.003877451253306421
Beta.catenin,6.613539206633025
HLA.DR,4.163275709681028
CD11b,0
CD45,9.084449854117917
H3K9ac,5.220223218126552
Pan.Keratin,0.049789024466877566
H3K27me3,20.60653465304016
phospho.S6,9.793629593539247
MPO,0
Keratin6,0.0034785472609076638
HLA_Class_1,5.015038980581214
