target,imp
FoxP3,33.654085903825504
Lag3,17.764531056691315
CD4,55.571128832024876
CD16,15.572077501867534
CD56,20.919078571527283
PD1,13.703233986277464
CD31,15.847082682327724
PD.L1,26.974228573009057
EGFR,15.211804580134078
Ki67,14.287709849454329
CD209,16.97586496022185
CD138,14.995737924024857
CD68,13.020510492896959
CSF.1R,30.76296452371344
CD8,14.572471991704862
CD3,20.853845179752593
IDO,43.80471199121146
CD63,23.336702315273733
CD45RO,66.93080770101136
CD20,24.662754642177084
Beta.catenin,18.92369629825658
HLA.DR,34.14429500990835
CD11b,40.53700390163091
CD45,57.48168184200728
H3K9ac,34.21158393962515
Pan.Keratin,15.084324029352201
H3K27me3,13.188647058327232
phospho.S6,25.46101234555119
MPO,15.930929320914887
Keratin6,24.96284806631813
HLA_Class_1,17.078055466352854
