target,imp
Lag3,0.4974813607439574
CD4,0.26213946619510986
CD16,0.5439395117450078
PD1,0.5323740741383501
CD31,0.4506198755472417
PD.L1,0.44027497894072026
Ki67,0.43588022421296996
CD209,0.3117874909666876
CD11c,0.5129776325488986
CD138,0.9369607646642146
CD68,0.3477670608075015
CSF.1R,0.371770486316089
CD8,0.3205384672798424
CD3,0.37640665221119624
IDO,0.5008041538694623
Keratin17,0.894058942216647
CD63,0.32371284226593255
CD45RO,0.3256468655487555
CD20,0.39429735172310587
p53,0.6822917147149067
Beta.catenin,0.8237826849438608
HLA.DR,0.4842243350146033
CD11b,0.6352858451216146
CD45,0.3563517813734118
H3K9ac,0.9270036591874117
Pan.Keratin,0.9595278242702929
H3K27me3,0.662340229543618
phospho.S6,0.6387077916026709
MPO,0.39486923337045093
Keratin6,1.0197806794123958
HLA_Class_1,0.39705880382573966
