target,imp
FoxP3,1.9997123157968502
Lag3,2.264959981877394
CD4,0.4803555706206548
CD16,0.6401252520616564
CD56,0.0044003081112686795
PD1,0.2877947318533334
CD31,0.19375686882177656
PD.L1,0.098630544737156
EGFR,1.656808407869247
Ki67,2.4991182830141114
CD209,0.521338234950758
CD11c,0.005378594143205402
CD138,1.6767167779181344
CD68,2.994099502490533
CSF.1R,1.2798463775023496
CD8,0.2531483250665385
CD3,1.1162324242597148
IDO,0
Keratin17,1.0067385525586448
CD63,2.2610886734196223
CD45RO,0.2877947318533334
CD20,1.0371446535392446
p53,0
Beta.catenin,1.6349278256617767
HLA.DR,0
CD11b,0.32616736276711117
CD45,0.29601743847771417
H3K9ac,0.696458740195852
Pan.Keratin,0.49428763106858836
H3K27me3,0.6249257034529524
phospho.S6,4.144746837920647
MPO,0.3812325271745025
Keratin6,1.013895640175029
HLA_Class_1,0.8829958868471627
